ScientificName	AphiaID	Match type	LSID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies
Nemalion helminthoides	145765	near_1	urn:lsid:marinespecies.org:taxname:145765	Nemalion elminthoides	(Velley) Batters, 1902	145765	Nemalion elminthoides	(Velley) Batters, 1902	Plantae	Rhodophyta	Florideophyceae	Nemaliales	Liagoraceae	Nemalion		elminthoides	
Padina	144088	exact	urn:lsid:marinespecies.org:taxname:144088	Padina	Adanson, 1763	144088	Padina	Adanson, 1763	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Padina			
Parvocaulis parvulus	376334	exact	urn:lsid:marinespecies.org:taxname:376334	Parvocaulis parvulus	(Solms-Laubach) S.Berger, U.Fettweiss, S.Gleissberg, L.B.Liddle, U.Richter, H.Sawitzky & G.C.Zuccarello, 2003	376334	Parvocaulis parvulus	(Solms-Laubach) S.Berger, U.Fettweiss, S.Gleissberg, L.B.Liddle, U.Richter, H.Sawitzky & G.C.Zuccarello, 2003	Plantae	Chlorophyta	Ulvophyceae	Dasycladales	Polyphysaceae	Parvocaulis		parvulus	
Petalonia fascia	145863	exact	urn:lsid:marinespecies.org:taxname:145863	Petalonia fascia	(O.F.Müller) Kuntze, 1898	145863	Petalonia fascia	(O.F.Müller) Kuntze, 1898	Chromista	Ochrophyta	Phaeophyceae	Scytosiphonales	Scytosiphonaceae	Petalonia		fascia	
Polysiphonia	ambiguous															
Porphyra	143808	exact	urn:lsid:marinespecies.org:taxname:143808	Porphyra	C.Agardh, 1824	143808	Porphyra	C.Agardh, 1824	Plantae	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Porphyra			
Pterocladiella capillacea	145599	exact	urn:lsid:marinespecies.org:taxname:145599	Pterocladiella capillacea	(S.G.Gmelin) Santelices & Hommersand, 1997	145599	Pterocladiella capillacea	(S.G.Gmelin) Santelices & Hommersand, 1997	Plantae	Rhodophyta	Florideophyceae	Gelidiales	Pterocladiaceae	Pterocladiella		capillacea	
Rytiphlaea tinctoria	371063	exact	urn:lsid:marinespecies.org:taxname:371063	Rytiphlaea tinctoria	(Clemente) C.Agardh, 1824	371063	Rytiphlaea tinctoria	(Clemente) C.Agardh, 1824	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Rytiphlaea		tinctoria	
Sargassum	144132	exact	urn:lsid:marinespecies.org:taxname:144132	Sargassum	C.Agardh, 1820	144132	Sargassum	C.Agardh, 1820	Chromista	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	Sargassum			
Scytosiphon lomentaria	145869	exact	urn:lsid:marinespecies.org:taxname:145869	Scytosiphon lomentaria	(Lyngbye) Link, 1833	145869	Scytosiphon lomentaria	(Lyngbye) Link, 1833	Chromista	Ochrophyta	Phaeophyceae	Scytosiphonales	Scytosiphonaceae	Scytosiphon		lomentaria	
Solieria filiformis	232604	exact	urn:lsid:marinespecies.org:taxname:232604	Solieria filiformis	(Kützing) P.W.Gabrielson, 1985	232604	Solieria filiformis	(Kützing) P.W.Gabrielson, 1985	Plantae	Rhodophyta	Florideophyceae	Gigartinales	Solieriaceae	Solieria		filiformis	
Spyridia	143866	exact	urn:lsid:marinespecies.org:taxname:143866	Spyridia	Harvey, 1833	143866	Spyridia	Harvey, 1833	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Spyridiaceae	Spyridia			
Stypopodium schimperi	145391	exact	urn:lsid:marinespecies.org:taxname:145391	Stypopodium schimperi	(Kützing) M.Verlaque & Boudouresque, 1991	145391	Stypopodium schimperi	(Kützing) M.Verlaque & Boudouresque, 1991	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Stypopodium		schimperi	
Taonia atomaria	145393	exact	urn:lsid:marinespecies.org:taxname:145393	Taonia atomaria	(Woodward) J.Agardh, 1848	145393	Taonia atomaria	(Woodward) J.Agardh, 1848	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Taonia		atomaria	
Turf									
Ulva	144296	exact	urn:lsid:marinespecies.org:taxname:144296	Ulva	Linnaeus, 1753	144296	Ulva	Linnaeus, 1753	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva			
Ulva compressa	234462	exact	urn:lsid:marinespecies.org:taxname:234462	Ulva compressa	Linnaeus, 1753	234462	Ulva compressa	Linnaeus, 1753	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Ulvaceae	Ulva		compressa	
Valonia utricularis	145884	exact	urn:lsid:marinespecies.org:taxname:145884	Valonia utricularis	(Roth) C.Agardh, 1823	145884	Valonia utricularis	(Roth) C.Agardh, 1823	Plantae	Chlorophyta	Ulvophyceae	Siphonocladales	Valoniaceae	Valonia		utricularis	
